filename,Sr_No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,llm_label
dia0_utt0.wav,1,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",neutral
dia0_utt2.wav,3,That I did. That I did.,chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389",neutral
dia0_utt4.wav,5,My duties?  All right.,chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917",neutral
dia0_utt8.wav,9,Good to know.,chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",neutral
dia0_utt10.wav,11,No don’t I beg of you!,chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858",fear
dia1_utt0.wav,15,But then who? The waitress I went out with last month?,joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824",surprise
dia1_utt1.wav,16,You know? Forget it!,rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578",anger
dia1_utt2.wav,17,"No-no-no-no, no! Who, who were you talking about?",joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122",fear
dia1_utt3.wav,18,"No, I-I-I-I don't, I actually don't know",rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791",fear
dia1_utt5.wav,20,"All right, well...",joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000",neutral
dia2_utt1.wav,25,Hey-hey-hey. You wanna hear something that sucks.,monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",neutral
dia2_utt2.wav,26,Do I ever.,chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",neutral
dia2_utt3.wav,27,Chris says they’re closing down the bar.,monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",neutral
dia2_utt5.wav,29,"Yeah, apparently they’re turning it into some kinda coffee place.",monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152",neutral
dia2_utt6.wav,30,Just coffee! Where are we gonna hang out now?,chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157",surprise
dia2_utt9.wav,33,"Hey, did you pick a roommate?",monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019",neutral
dia2_utt11.wav,35,Is it the Italian guy?,monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",surprise
dia2_utt12.wav,36,"Um-mm, yeah right!",chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497",disgust
dia3_utt0.wav,37,"Oh my God, oh my God! Poor Monica!",phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450",surprise
dia3_utt1.wav,38,"What, what, what?!",chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750",surprise
dia3_utt3.wav,40,He was with her when he wrote this poem.,phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496",surprise
dia3_utt4.wav,41,"Look,  'My vessel so empty with nothing inside.",phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499",sadness
dia3_utt5.wav,42,"Now that I've touched you, you seem emptier still.'",phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586",sadness
dia3_utt6.wav,43,"He thinks Monica is empty, she is the empty vase!",phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672",disgust
dia3_utt8.wav,45,"Oh, totally. Oh, God, oh, she seemed so happy too.",phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137",surprise
dia4_utt2.wav,49,What are you doing here?,rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265",surprise
dia4_utt3.wav,50,"Ah y'know, this building is on my paper route so I...",ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185",neutral
dia4_utt7.wav,54,How’d did it go?,ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",neutral
dia4_utt8.wav,55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446",joy
dia4_utt9.wav,56,I’m so proud of you.,ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",joy
dia4_utt11.wav,58,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584",sadness
dia5_utt2.wav,64,Ameri-can. Y'know it’s a,phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507",joy
dia6_utt0.wav,66,Good job Joe! Well done! Top notch!,chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526",joy
dia6_utt1.wav,67,You liked it? You really liked it?,joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796",joy
dia6_utt3.wav,69,Which part exactly?,joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657",neutral
dia6_utt4.wav,70,The whole thing! Can we go?,chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243",joy
dia6_utt5.wav,71,"Oh no-no-no, give me some specifics.",joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746",neutral
dia6_utt6.wav,72,"I love the specifics, the specifics were the best part!",chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000",joy
dia6_utt7.wav,73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255",joy
dia6_utt8.wav,74,I was surprised to see a kangaroo in a World War I epic.,chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929",surprise
dia6_utt9.wav,75,You fell asleep!!,joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931",surprise
dia6_utt10.wav,76,There was no kangaroo!,joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809",anger
dia6_utt11.wav,77,They didn’t take any of my suggestions!,joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196",anger
dia6_utt12.wav,78,That’s for coming buddy.,joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242",joy
dia6_utt16.wav,82,I’m so sorry!,chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832",sadness
dia6_utt18.wav,84,This guy fell asleep!,chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589",surprise
dia6_utt21.wav,87,"Or, call an ambulance.",chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244",neutral
dia7_utt0.wav,88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897",neutral
dia7_utt1.wav,89,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193",anger
dia8_utt0.wav,90,"Yes, and it is my dying wish to have that ring.",phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951",joy
dia8_utt1.wav,91,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204",surprise
dia8_utt2.wav,92,"Okay, that’s enough honey!",chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706",neutral
dia8_utt4.wav,94,"Great! Okay, here.",chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964",disgust
dia9_utt0.wav,97,What've you been up to?,chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738",neutral
